SOC,OCV
0,2.433870496
0.001762893,2.495241527
0.003977413,2.567291374
0.006122728,2.638247608
0.00819884,2.699682969
0.011659026,2.75747295
0.015811249,2.817300056
0.02065551,2.872972501
0.026883845,2.925610704
0.035188291,2.980162731
0.04556885,3.034240323
0.058371538,3.086920264
0.074634413,3.13950374
0.09781766,3.190538243
0.126191186,3.210747347
0.154564712,3.217682459
0.182938238,3.228540145
0.211311765,3.242222084
0.239685291,3.25413102
0.268058817,3.264188501
0.296432343,3.272990758
0.324805869,3.280804526
0.353179395,3.287002194
0.381552922,3.292823294
0.409926448,3.296479134
0.438299974,3.299648574
0.4666735,3.302362995
0.495047026,3.302896466
0.523420552,3.305265701
0.551794079,3.305673648
0.580167605,3.30631695
0.608541131,3.308890159
0.636914657,3.309203965
0.665288183,3.312467547
0.693661709,3.314993685
0.722035236,3.317676726
0.750408762,3.322980047
0.778782288,3.331641091
0.807155814,3.340302135
0.83552934,3.344005046
0.863902866,3.347080344
0.892276392,3.347817788
0.920649919,3.350751874
0.949023445,3.352493497
0.977396971,3.365265399
0.994351883,3.419830549
0.999888181,3.481214738
