SOC,C2
0.0503597122302158,52830.1886792452
0.0617711340979339,69455.7679268204
0.088997975112092,111169.546395104
0.117343727400805,150491.752328979
0.143131968204821,185686.363152856
0.15650562201021,230227.928883519
0.162473148807834,272093.507214206
0.1682275496484,313812.360387193
0.174408202403081,357075.321172175
0.180375729200705,397543.517048568
0.186119473743418,438391.800952528
0.191880432305739,480431.944599044
0.212824156162784,524828.070848171
0.250867139497635,500308.666716803
0.288910122832486,527336.78334847
0.326953106167337,512859.901121971
0.364996089502188,487312.461898737
0.403039072837039,492099.729789217
0.438019772683636,541529.805139156
0.461947679384415,545116.420105181
0.49628167904991,495490.71121164
0.534324662384761,503622.929102519
0.572367645719612,490780.162357866
0.610410629054463,480499.811439208
0.648453612389314,531985.956972879
0.686496595724165,549431.865919916
0.724539579059016,538906.014083797
0.762582562393867,519979.427728326
0.800625545728718,509023.949286651
0.83866852906357,501398.077038034
0.875965571548718,525607.630202786
0.912143702759311,532905.626425397
0.949067774819608,487665.369467586
0.985245906030202,509573.491082189
0.998201438848921,520754.716981132
