SOC,R1
0.050600731888986,0.00799086757990868
0.0755691570322873,0.00655251141552512
0.0963630978131574,0.00535901297170644
0.133156771058786,0.00378196499252804
0.172169659500128,0.0028997947163593
0.211121663653985,0.0026185523576725
0.250050605577733,0.00256493421015307
0.288982383301628,0.00248332671518638
0.327935754106157,0.0021885955143563
0.366898691465398,0.00179944241852345
0.405841265729611,0.00161127307062507
0.444718206595249,0.00207090536665641
0.483617013871655,0.00231471618839571
0.522544520812197,0.00227526132512671
0.561489179218686,0.00206652149295988
0.600437800912126,0.00181866401857759
0.639382288487281,0.00161161029167867
0.678315535360649,0.00151550229140798
0.717244613949465,0.00146053525967422
0.756173863369615,0.00140388212267257
0.795101199478822,0.00136611336467146
0.834032601373782,0.00128821530129417
0.872920612109872,0.00163858797596513
0.911810262826769,0.00197277404006425
0.950767528585717,0.0016395996391259
0.985524304668674,0.00133461691826697
