SOC,RO
0.0527300106868746,0.00447488584474886
0.0970967324071375,0.00407534246575342
0.144993361183976,0.00383561643835616
0.196427993134493,0.003675799086758
0.247854528967907,0.00359589041095891
0.308122024676965,0.00375570776255708
0.364883901680754,0.00351598173515982
0.402126040351048,0.00343607305936074
0.44822533113119,0.00343607305936074
0.549256776450014,0.00375570776255708
0.581179766184138,0.003675799086758
0.611329706272872,0.00359589041095891
0.648547556591858,0.00375570776255708
0.673370251627319,0.00375570776255708
0.714166585705496,0.00359589041095891
0.744292237442922,0.00375570776255708
0.767333786715891,0.00383561643835616
0.786853525049386,0.003675799086758
0.815214223258525,0.00375570776255708
0.857791703099194,0.00351598173515982
0.900328702354351,0.003675799086758
0.94996599630817,0.00375570776255708
0.980115936396904,0.003675799086758
