SOC,OCV
0,2.634719765
0.002097713,2.769713376
0.00461791,2.885194824
0.008713229,2.997063498
0.015013721,3.103139001
0.024149434,3.203957773
0.037065441,3.301125386
0.055651892,3.398231479
0.082744005,3.484104576
0.114876513,3.513819385
0.14700902,3.532393482
0.179141527,3.560029939
0.211274034,3.586243382
0.243406541,3.609629517
0.275539048,3.632060734
0.307671555,3.653218727
0.339804063,3.672729018
0.37193657,3.6902733
0.404069077,3.707368209
0.436201584,3.725698895
0.468334091,3.746089209
0.500466598,3.768670217
0.532599105,3.792355934
0.564731613,3.816865503
0.59686412,3.841038042
0.628996627,3.866053155
0.661129134,3.894195158
0.693261641,3.922280989
0.725394148,3.948494431
0.757526655,3.976411747
0.789659163,4.005358877
0.82179167,4.029737379
0.853924177,4.04554034
0.886056684,4.062691421
0.918189191,4.089859781
0.950321698,4.124929622
0.982454205,4.165878764
1.000095582,4.190759066
