SOC,OCV
0,3.467096774
0.05,3.510842505
0.1,3.557165085
0.15,3.624132827
0.2,3.688519924
0.3,3.768258065
0.4,3.780903226
0.5,3.803870968
0.6,3.870713472
0.7,3.932387097
0.8,4.004387097
0.9,4.094451613
1,4.174197343
