SOC,RO
0.1,0.004287094
0.2,0.00396132
0.3,0.002829023
0.4,0.003503172
0.5,0.003983871
0.6,0.003658045
0.7,0.003138616
0.8,0.001683678
0.9,0.002970849
1,0.002322383
