SOC,OCV
0,2.212377049
0.02,2.849584615
0.04,3.020175806
0.06,3.111194988
0.08,3.169989409
0.1,3.191155733
0.12,3.202974836
0.14,3.209604918
0.16,3.219063467
0.18,3.22948666
0.2,3.239259846
0.22,3.24797153
0.24,3.256064781
0.26,3.263175966
0.28,3.269518871
0.3,3.27495071
0.32,3.279567444
0.34,3.283732562
0.36,3.287543907
0.38,3.28956739
0.4,3.291440275
0.42,3.293394771
0.44,3.295850216
0.46,3.298225652
0.48,3.29834979
0.5,3.298529121
0.52,3.299374466
0.54,3.300568245
0.56,3.301902509
0.58,3.302549821
0.6,3.30391912
0.62,3.30523199
0.64,3.306338847
0.66,3.308643837
0.68,3.311376806
0.7,3.314144285
0.72,3.317420436
0.74,3.322642155
0.76,3.328106597
0.78,3.33363286
0.8,3.336694299
0.82,3.339285097
0.84,3.341751209
0.86,3.343845863
0.88,3.344817009
0.9,3.346598991
0.92,3.348659648
0.94,3.352353675
0.96,3.361808823
0.98,3.380441523
1,3.491409998
