SOC,OCV
0,2.264378104
0.000673025,2.343457235
0.002033805,2.423224011
0.003390663,2.505741365
0.004748011,2.587914897
0.006104379,2.670776074
0.007461237,2.753293428
0.010302044,2.829186472
0.01501219,2.886696484
0.021191286,2.948103148
0.029217777,3.006518559
0.039458304,3.063335195
0.053014343,3.121641729
0.073419422,3.182100522
0.101703759,3.210871804
0.132702273,3.218923682
0.162872987,3.232759184
0.193199445,3.246645169
0.224064153,3.25918646
0.253828663,3.268797677
0.283736657,3.277327745
0.314657611,3.285648922
0.346984204,3.293236725
0.376770397,3.298100507
0.412627054,3.300410992
0.439815585,3.301346189
0.472989977,3.302721478
0.520172162,3.304096768
0.554163008,3.305324704
0.572146488,3.305472057
0.611892527,3.30689477
0.644862795,3.308791721
0.679511653,3.312741443
0.711690521,3.321310065
0.740909404,3.334598718
0.770348835,3.340720211
0.808014278,3.342604866
0.847086689,3.343980155
0.885053221,3.345355445
0.920220126,3.347291037
0.95266553,3.351296694
0.977905358,3.37456925
0.991071276,3.447952022
0.994666753,3.511627914
0.997908702,3.564714078
