SOC,R1
0.0472952225324798,0.0826700560638606
0.0974653653806441,0.0551611688950267
0.147635508228808,0.0396996830968519
0.19805525377771,0.0289472792676644
0.248225396625874,0.020941839920386
0.298395539474039,0.0161542732519157
0.34881528502294,0.0170568472959715
0.398985427871104,0.0160757885524325
0.449405173420006,0.0159580615032078
0.49957531626817,0.0163112426508819
0.549745459116335,0.0166644237985559
0.600165204665236,0.015055487459152
0.6503353475134,0.0165466967493312
0.700755093062302,0.0258863759878226
0.750925235910466,0.0264357688842045
0.801095378758631,0.0236888044022952
0.851515124307532,0.0206671434721951
0.901685267155697,0.017370786093904
0.951855410003861,0.0167036661482975
1,0.0200534759358289
