SOC,C1
0.048373745819398,212.505605028811
0.0986807214524606,326.122996333159
0.148738652651696,453.622184389733
0.198796583850932,538.503928758512
0.249103559483994,841.405971712939
0.29916149068323,864.287454164484
0.349219421882465,954.994237820848
0.399526397515528,960.236773179675
0.449833373148591,956.741749607124
0.499642259913999,974.216867469879
0.549949235547062,983.828182294395
0.600256211180124,969.848088004191
0.650065097945533,815.018543740178
0.700372073578595,703.585542168674
0.750679049211658,692.867469879518
0.800487935977066,678.013619696176
0.850794911610129,678.596123624934
0.901101887243192,767.573598742797
0.951408862876254,807.766369827134
0.997252747252747,653.012048192771
