SOC,C1
0,2051.146292
0.1,2038.118032
0.2,2080.003804
0.3,2253.594351
0.4,2398.39704
0.5,2343.857781
0.6,2379.740543
0.7,2522.984821
0.8,2707.031869
0.9,2277.128457
1,2183.06062
