SOC,OCV
0,2.853268493
0.002658253,2.909481197
0.005352743,2.960385104
0.008096224,3.021737708
0.01255438,3.082682695
0.017698407,3.144969726
0.023939826,3.19866369
0.03205269,3.253281172
0.050945965,3.311363776
0.079009643,3.342912715
0.106676877,3.369803971
0.135180754,3.405914761
0.163768589,3.444354656
0.192604579,3.479897116
0.220465739,3.509133108
0.247988355,3.53218288
0.276690619,3.551004367
0.30502087,3.567700304
0.333198704,3.583191084
0.360976448,3.597816553
0.389259569,3.613044244
0.417106583,3.628648931
0.44564532,3.646056393
0.473856245,3.664403644
0.501682722,3.684926927
0.530214922,3.709282856
0.55767999,3.737979009
0.585436499,3.771463925
0.614630848,3.802059532
0.642095302,3.828269303
0.670592701,3.853577037
0.698406055,3.876457161
0.726248678,3.89867403
0.75487171,3.922176482
0.782786628,3.947129881
0.810690716,3.974858846
0.839407019,4.0064206
0.867271769,4.037882685
0.894361573,4.067767517
0.923556855,4.095003795
0.951472596,4.120270421
0.979684138,4.153723196
0.997035335,4.180261356
