SOC,R1
0.0254713748519717,0.00168445331855191
0.068661088941439,0.00136644707405764
0.113930644030437,0.00129219626892971
0.155885108637379,0.00108005369058924
0.200590685677563,0.000996186028061853
0.24296607048679,0.000960456815057758
0.286507926967713,0.0008990545647157
0.330566992586085,0.000901798799367859
0.374114351291873,0.000833981298720536
0.418030359063717,0.00100352204130962
0.462460824860576,0.00124041689404555
0.504539089527014,0.00155111119752584
0.548367061700993,0.00182329594499919
0.592071233815477,0.00223982382434103
0.636388904002573,0.00260823130833492
0.678351621946815,0.0030536458682258
0.721992518475334,0.0035439491260782
0.761845133183278,0.00378089212328172
