SOC,RO
0.05,0.018
0.1,0.069
0.15,0.01
0.2,0.013
0.25,0.016
0.3,0.012
0.4,0.016
0.5,0.008
0.6,0.022
0.7,0.013
0.8,0.041
0.9,0.033
1,0.018
