SOC,R1
0.05,0.054
0.1,0.021
0.15,0.053
0.2,0.233
0.25,0.022
0.3,0.017
0.4,0.023
0.5,0.26
0.6,0.02
0.7,0.024
0.8,0.048
0.9,0.219
1,0.019
