SOC,R1
0.0018012344707195,0.0463322884012539
0.0331402697973707,0.0443198286832251
0.10016265452394,0.0430545707662324
0.167204929472551,0.0434051944879387
0.234230713356693,0.0424160841321945
0.30125063626914,0.0409508284359946
0.368243159911452,0.0372596560339744
0.435244727373005,0.0343032035070332
0.502276856351283,0.0338295685989526
0.569316690086728,0.0339818681630351
0.636352434532607,0.0338019538428278
0.703396398759528,0.0342898145343667
0.770462910731683,0.0366094540488532
0.837552598778202,0.0408119178445787
0.904705284545078,0.050132316442108
0.949719181601721,0.067298382289355
0.968859533558246,0.0854717821340114
0.982348020823922,0.102828211735456
0.994177079541934,0.12017870060737
1.00192892885786,0.129831180412928
