SOC,RO
0.00206748378194416,0.127962382445141
0.0341241920086105,0.124253669124344
0.101095455465374,0.118835319248334
0.16810872426936,0.116829483780721
0.23512444458699,0.115022809281523
0.302164669740579,0.115206907655688
0.36919210170112,0.11435168702661
0.436231142299798,0.114439552159734
0.503263909907682,0.114017799520737
0.570301889557177,0.11401947314232
0.637339786802853,0.11401445227757
0.704382442869131,0.114396037998568
0.771427437143801,0.114967579769273
0.838474048593437,0.115670500834269
0.905543980324121,0.118267961531587
0.970651691693037,0.123221881418225
0.998360830327417,0.126833855799373
