SOC,C1
0.000519470881801848,1295.59748427673
0.0328742765025383,1369.67933842018
0.0997819732787379,1412.23906161761
0.166726421448415,1404.96389525908
0.233652978849903,1421.94861056535
0.30054321819832,1488.1806058371
0.367375720096455,1632.70458369031
0.434206808479456,1779.14528806492
0.501131797601379,1798.25659046061
0.568070890921754,1798.24259975607
0.634999460260842,1812.49912767789
0.701967783423363,1772.84947102388
0.768990150325085,1659.91650401214
0.836054902045563,1489.50972276798
0.898528614010799,1253.60457377037
0.942814750602693,965.611975851697
0.974188522855739,662.000938652136
0.995852117271671,494.141048579484
