SOC,R1
0.0509433962264151,0.00199640287769784
0.1,0.00136330935251799
0.150943396226415,0.00113309352517986
0.2,0.000989208633093526
0.249056603773585,0.000826139088729017
0.3,0.000835731414868106
0.350943396226415,0.000826139088729017
0.4,0.000758992805755396
0.450943396226415,0.000758992805755396
0.5,0.000758992805755396
0.550943396226415,0.000758992805755396
0.6,0.000758992805755396
0.649056603773585,0.000749400479616307
0.7,0.000835731414868106
0.750943396226415,0.000902877697841727
0.8,0.000912470023980816
0.850943396226415,0.000912470023980816
0.9,0.000979616306954437
0.949056603773585,0.000989208633093526
