SOC,RO
0.0484496124031008,0.00144520884520885
0.0988372093023256,0.00118574938574939
0.14922480620155,0.00105995085995086
0.199612403100775,0.000997051597051597
0.25,0.00105995085995086
0.298449612403101,0.0010009828009828
0.348837209302326,0.000938083538083538
0.39922480620155,0.000938083538083538
0.449612403100775,0.000938083538083538
0.5,0.000938083538083538
0.550387596899225,0.000938083538083538
0.60077519379845,0.000938083538083538
0.651162790697674,0.000875184275184275
0.699612403100775,0.000875184275184275
0.75,0.000812285012285012
0.800387596899225,0.000812285012285012
0.85077519379845,0.000875184275184275
0.901162790697674,0.000875184275184275
0.951550387596899,0.000875184275184275
