SOC,C2
0.0483934653851995,1627.78296053631
0.100344954765366,2579.58475256547
0.148582214219079,3446.80103269477
0.200338446184887,3447.89447421517
0.250393769118955,4167.26184019265
0.300305903282494,4189.44308246371
0.35021369839238,4190.49747250125
0.398273056646345,4191.51281105591
0.450267936563035,5354.58312542034
0.501781181524309,4172.57284186319
0.549840539778274,4173.58818041785
0.601449243919901,3456.36864599831
0.649512941227518,3478.5108367865
0.701412361963855,4176.79040201332
0.751172629249561,3459.5318161109
0.80097628707179,2953.54175254377
0.850983880415681,3440.51374395244
0.90078753823791,2934.52368038531
0.950621569435706,2576.42158245287
