SOC,OCV
0.101248779,3.463687748
0.122010658,3.480204154
0.148148485,3.499939234
0.180608525,3.53257898
0.213059079,3.55859753
0.245500086,3.577952229
0.277931577,3.590664716
0.310359751,3.601061949
0.342787365,3.611068453
0.375214111,3.620469097
0.407638966,3.628549829
0.440064999,3.637452801
0.472494039,3.648454649
0.504926179,3.661620287
0.537364333,3.678983677
0.569817615,3.706906361
0.602274895,3.737620334
0.634730501,3.767164616
0.667185734,3.796449242
0.699642394,3.826729835
0.73209763,3.856016329
0.764559745,3.890105192
0.797017027,3.920819787
0.829478864,3.954713909
0.861940826,3.988695205
0.885040822,4.015151722
0.900918052,4.036820459
