SOC,R1
0,0.0675
0.05,0.0226
0.1,0.0216
0.2,0.0258
0.3,0.0224
0.4,0.0202
0.5,0.0216
0.6,0.0222
0.7,0.0198
0.8,0.0208
0.9,0.023
