SOC,OCV
0,2.807052897
0.007665183,2.880724198
0.0203626,2.980380869
0.037424755,3.069298941
0.059645236,3.157232066
0.085436866,3.245660015
0.118767587,3.334356534
0.158843811,3.410100504
0.19931683,3.451187047
0.239789849,3.490455906
0.280262867,3.534406161
0.320735886,3.575252634
0.361208905,3.610165907
0.401681923,3.642078285
0.442154942,3.675053838
0.482627961,3.711321801
0.52310098,3.748447163
0.563573998,3.784903754
0.604047017,3.820108543
0.644520036,3.853512795
0.684993054,3.889369207
0.725466073,3.931278853
0.765939092,3.978230004
0.80641211,4.024460939
0.846885129,4.05592747
0.887358148,4.069954512
0.927831167,4.082301053
0.968304185,4.112412894
0.992905432,4.161032075
1,4.185894207
